Days ago,Date,Yield(Wh),Consumption(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,8/25/25,50,100,8.00,29.08,11.82,14.27,772,0,0,0,0,0,0
1,8/24/25,50,0,11.00,29.05,12.57,13.38,811,0,0,0,0,0,0
2,8/23/25,30,0,13.00,29.83,12.44,13.21,772,0,0,0,0,0,0
3,8/22/25,40,100,11.00,28.90,11.83,14.46,769,1,0,0,0,0,0
4,8/21/25,10,0,4.00,28.50,12.59,13.08,683,0,0,0,0,0,0
5,8/20/25,10,0,7.00,29.05,12.62,13.23,733,0,0,0,0,0,0
6,8/19/25,40,0,8.00,28.87,12.51,13.17,817,0,0,0,0,0,0
7,8/18/25,60,90,8.00,27.62,11.77,14.18,826,0,0,0,0,0,0
8,8/17/25,40,0,9.00,28.91,12.58,13.28,825,0,0,0,0,0,0
9,8/16/25,30,0,8.00,29.31,12.53,13.12,821,0,0,0,0,0,0
10,8/15/25,30,0,9.00,28.17,12.51,13.03,823,0,0,0,0,0,0
11,8/14/25,40,0,8.00,28.80,12.43,12.91,824,0,0,0,0,0,0
12,8/13/25,50,0,7.00,28.41,12.31,12.77,826,0,0,0,0,0,0
13,8/12/25,50,220,7.00,26.35,11.77,14.06,827,0,0,0,0,0,0
14,8/11/25,50,0,8.00,32.02,12.61,13.18,846,0,0,0,0,0,0
15,8/10/25,50,0,9.00,32.28,12.54,13.16,851,0,0,0,0,0,0
16,8/9/25,40,0,7.00,31.95,12.42,12.94,850,0,0,0,0,0,0
17,8/8/25,60,180,8.00,32.22,11.82,14.45,844,1,0,0,0,0,0
18,8/7/25,20,0,6.00,36.18,12.69,14.52,334,3,520,0,0,0,0
19,8/6/25,20,10,5.00,36.03,11.77,14.55,306,1,548,0,0,0,0
20,8/5/25,20,0,7.00,35.90,12.62,14.52,569,18,278,0,0,0,0
21,8/4/25,20,10,6.00,36.33,11.56,14.63,643,3,143,0,0,0,0
22,8/3/25,10,0,9.00,36.07,11.81,14.60,719,3,106,0,0,0,0
23,8/2/25,10,0,4.00,29.81,12.59,14.03,771,0,0,0,0,0,0
24,8/1/25,20,10,8.00,36.57,11.63,14.55,570,20,213,0,0,0,0
25,7/31/25,30,0,9.00,35.45,11.68,14.55,762,10,44,0,0,0,0
26,7/30/25,20,0,10.00,29.35,12.54,13.75,837,0,0,0,0,0,0
27,7/29/25,30,40,10.00,36.56,11.83,14.56,807,3,44,0,0,0,0
28,7/28/25,10,20,14.00,29.84,11.76,14.53,851,1,1,0,0,0,0
29,7/27/25,20,10,10.00,35.88,11.86,14.56,783,9,42,0,0,0,0
30,7/26/25,20,10,10.00,35.81,11.69,14.47,775,3,2,0,0,0,0
