Days ago,Date,Yield(Wh),Consumption(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,7/16/25,30,160,12.00,29.94,11.86,14.34,819,0,0,0,0,0,0
1,7/15/25,40,0,10.00,28.28,12.58,14.34,876,0,0,0,0,0,0
2,7/14/25,30,0,11.00,28.16,12.53,13.30,861,0,0,0,0,0,0
3,7/13/25,50,0,9.00,28.04,12.48,13.07,914,0,0,0,0,0,0
4,7/12/25,50,0,11.00,28.45,12.34,12.95,888,0,0,0,0,0,0
5,7/11/25,40,140,11.00,33.53,11.81,14.43,879,5,10,0,0,0,0
6,7/10/25,50,0,11.00,28.18,12.53,13.47,911,0,0,0,0,0,0
7,7/9/25,40,0,13.00,28.95,12.48,13.27,905,0,0,0,0,0,0
8,7/8/25,20,0,8.00,30.36,12.43,13.01,879,0,0,0,0,0,0
9,7/7/25,10,0,14.00,29.06,12.42,13.05,880,0,0,0,0,0,0
10,7/6/25,30,0,12.00,28.49,12.39,12.87,906,0,0,0,0,0,0
11,7/5/25,60,0,9.00,29.64,12.23,12.72,905,0,0,0,0,0,0
12,7/4/25,50,220,11.00,28.95,11.80,14.40,847,1,0,0,0,0,0
13,7/3/25,40,0,13.00,30.08,12.56,13.37,898,0,0,0,0,0,0
14,7/2/25,50,0,10.00,28.53,12.48,12.99,908,0,0,0,0,0,0
15,7/1/25,40,0,8.00,28.97,12.44,12.88,922,0,0,0,0,0,0
16,6/30/25,50,0,10.00,27.73,12.37,12.79,926,0,0,0,0,0,0
17,6/29/25,50,0,9.00,27.60,12.28,12.67,917,0,0,0,0,0,0
18,6/28/25,50,0,11.00,28.48,12.13,12.57,912,0,0,0,0,0,0
19,6/27/25,40,250,14.00,32.39,11.76,14.41,874,15,9,0,0,0,0
20,6/26/25,40,0,11.00,29.54,12.54,13.19,879,0,0,0,0,0,0
21,6/25/25,60,0,9.00,28.55,12.48,13.01,919,0,0,0,0,0,0
22,6/24/25,60,0,10.00,28.25,12.39,12.91,927,0,0,0,0,0,0
23,6/23/25,50,0,12.00,27.76,12.31,12.73,913,0,0,0,0,0,0
24,6/22/25,60,0,9.00,28.71,12.15,12.61,906,0,0,0,0,0,0
25,6/21/25,60,270,10.00,29.47,11.75,14.04,908,0,0,0,0,0,0
26,6/20/25,50,0,10.00,29.34,12.53,13.11,923,0,0,0,0,0,0
27,6/19/25,60,0,10.00,29.81,12.46,12.97,920,0,0,0,0,0,0
28,6/18/25,60,0,10.00,29.27,12.38,12.86,933,0,0,0,0,0,0
29,6/17/25,60,0,10.00,28.47,12.27,12.72,925,0,0,0,0,0,0
30,6/16/25,30,0,12.00,30.38,12.15,12.66,914,0,0,0,0,0,0
