Days ago,Date,Yield(Wh),Consumption(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,9/18/25,40,50,10.00,23.14,11.80,14.19,615,0,0,0,0,0,0
1,9/17/25,30,0,14.00,23.91,12.57,13.46,702,0,0,0,0,0,0
2,9/16/25,40,80,12.00,24.07,11.83,14.49,712,0,0,0,0,0,0
3,9/15/25,20,0,12.00,29.67,12.64,14.44,703,3,24,0,0,0,0
4,9/14/25,30,0,11.00,23.13,12.61,13.35,730,0,0,0,0,0,0
5,9/13/25,30,0,8.00,22.85,12.48,13.14,726,0,0,0,0,0,0
6,9/12/25,30,100,12.00,27.37,11.90,14.27,670,0,0,0,0,0,0
7,9/11/25,20,0,6.00,37.05,12.66,14.58,314,16,395,0,0,0,0
8,9/10/25,10,0,5.00,36.76,12.64,14.60,514,10,103,0,0,0,0
9,9/9/25,20,0,7.00,32.95,12.62,14.54,604,8,33,0,0,0,0
10,9/8/25,20,0,9.00,24.02,12.62,13.85,754,0,0,0,0,0,0
11,9/7/25,40,0,9.00,23.76,12.48,13.28,762,0,0,0,0,0,0
12,9/6/25,40,80,8.00,26.39,11.87,14.30,777,0,0,0,0,0,0
13,9/5/25,10,0,8.00,30.86,12.57,14.10,767,0,0,0,0,0,0
14,9/4/25,20,0,8.00,28.87,12.54,13.26,630,0,0,0,0,0,0
15,9/3/25,30,30,12.00,27.75,11.81,14.29,771,0,0,0,0,0,0
16,9/2/25,30,30,11.00,35.95,11.86,14.55,625,11,122,0,0,0,0
17,9/1/25,10,10,10.00,36.67,11.82,14.56,719,2,21,0,0,0,0
18,8/31/25,30,0,8.00,31.42,12.63,14.45,673,14,87,0,0,0,0
19,8/30/25,30,0,11.00,29.84,12.53,13.30,779,0,0,0,0,0,0
20,8/29/25,40,60,9.00,27.93,11.66,14.51,741,1,0,0,0,0,0
21,8/28/25,0,0,4.00,27.92,12.61,13.00,688,0,0,0,0,0,0
22,8/27/25,40,0,9.00,28.73,12.58,13.34,744,0,0,0,0,0,0
23,8/26/25,40,0,8.00,31.05,12.44,13.10,807,0,0,0,0,0,0
24,8/25/25,50,100,8.00,29.08,11.82,14.27,823,0,0,0,0,0,0
25,8/24/25,50,0,11.00,29.05,12.57,13.38,811,0,0,0,0,0,0
26,8/23/25,30,0,13.00,29.83,12.44,13.21,772,0,0,0,0,0,0
27,8/22/25,40,100,11.00,28.90,11.83,14.46,769,1,0,0,0,0,0
28,8/21/25,10,0,4.00,28.50,12.59,13.08,683,0,0,0,0,0,0
29,8/20/25,10,0,7.00,29.05,12.62,13.23,733,0,0,0,0,0,0
30,8/19/25,40,0,8.00,28.87,12.51,13.17,817,0,0,0,0,0,0
